// Melia
// Database file
//---------------------------------------------------------------------------

[
{ itemLevel: 1, addPrice: 75, removePrice: 150 },
{ itemLevel: 52, addPrice: 2225, removePrice: 4450 },
{ itemLevel: 53, addPrice: 2250, removePrice: 4500 },
{ itemLevel: 54, addPrice: 2275, removePrice: 4550 },
{ itemLevel: 55, addPrice: 2325, removePrice: 4650 },
{ itemLevel: 56, addPrice: 2350, removePrice: 4700 },
{ itemLevel: 57, addPrice: 2375, removePrice: 4750 },
{ itemLevel: 58, addPrice: 2496, removePrice: 4992 },
{ itemLevel: 59, addPrice: 2548, removePrice: 5096 },
{ itemLevel: 60, addPrice: 2574, removePrice: 5148 },
{ itemLevel: 61, addPrice: 2700, removePrice: 5400 },
{ itemLevel: 62, addPrice: 2754, removePrice: 5508 },
{ itemLevel: 63, addPrice: 2884, removePrice: 5768 },
{ itemLevel: 64, addPrice: 3016, removePrice: 6032 },
{ itemLevel: 65, addPrice: 3045, removePrice: 6090 },
{ itemLevel: 66, addPrice: 3210, removePrice: 6420 },
{ itemLevel: 67, addPrice: 3348, removePrice: 6696 },
{ itemLevel: 68, addPrice: 3488, removePrice: 6976 },
{ itemLevel: 69, addPrice: 3630, removePrice: 7260 },
{ itemLevel: 70, addPrice: 3808, removePrice: 7616 },
{ itemLevel: 71, addPrice: 3955, removePrice: 7910 },
{ itemLevel: 72, addPrice: 4104, removePrice: 8208 },
{ itemLevel: 73, addPrice: 4255, removePrice: 8510 },
{ itemLevel: 74, addPrice: 4446, removePrice: 8892 },
{ itemLevel: 75, addPrice: 4602, removePrice: 9204 },
{ itemLevel: 76, addPrice: 4760, removePrice: 9520 },
{ itemLevel: 77, addPrice: 4920, removePrice: 9840 },
{ itemLevel: 78, addPrice: 5246, removePrice: 10492 },
{ itemLevel: 79, addPrice: 5412, removePrice: 10824 },
{ itemLevel: 80, addPrice: 5580, removePrice: 11160 },
{ itemLevel: 81, addPrice: 5796, removePrice: 11592 },
{ itemLevel: 82, addPrice: 6096, removePrice: 12192 },
{ itemLevel: 83, addPrice: 6272, removePrice: 12544 },
{ itemLevel: 84, addPrice: 6579, removePrice: 13158 },
{ itemLevel: 85, addPrice: 6812, removePrice: 13624 },
{ itemLevel: 86, addPrice: 7128, removePrice: 14256 },
{ itemLevel: 87, addPrice: 7315, removePrice: 14630 },
{ itemLevel: 88, addPrice: 7638, removePrice: 15276 },
{ itemLevel: 89, addPrice: 7888, removePrice: 15776 },
{ itemLevel: 90, addPrice: 8220, removePrice: 16440 },
{ itemLevel: 91, addPrice: 8418, removePrice: 16836 },
{ itemLevel: 92, addPrice: 8757, removePrice: 17514 },
{ itemLevel: 93, addPrice: 9165, removePrice: 18330 },
{ itemLevel: 94, addPrice: 9372, removePrice: 18744 },
{ itemLevel: 95, addPrice: 9438, removePrice: 18876 },
{ itemLevel: 96, addPrice: 9504, removePrice: 19008 },
{ itemLevel: 97, addPrice: 9490, removePrice: 18980 },
{ itemLevel: 98, addPrice: 9555, removePrice: 19110 },
{ itemLevel: 99, addPrice: 9620, removePrice: 19240 },
{ itemLevel: 100, addPrice: 9750, removePrice: 19500 },
{ itemLevel: 101, addPrice: 9750, removePrice: 19500 },
{ itemLevel: 102, addPrice: 9815, removePrice: 19630 },
{ itemLevel: 103, addPrice: 9815, removePrice: 19630 },
{ itemLevel: 104, addPrice: 9880, removePrice: 19760 },
{ itemLevel: 105, addPrice: 10032, removePrice: 20064 },
{ itemLevel: 106, addPrice: 10098, removePrice: 20196 },
{ itemLevel: 107, addPrice: 10098, removePrice: 20196 },
{ itemLevel: 108, addPrice: 10318, removePrice: 20636 },
{ itemLevel: 109, addPrice: 10472, removePrice: 20944 },
{ itemLevel: 110, addPrice: 10540, removePrice: 21080 },
{ itemLevel: 111, addPrice: 10695, removePrice: 21390 },
{ itemLevel: 112, addPrice: 10920, removePrice: 21840 },
{ itemLevel: 113, addPrice: 11076, removePrice: 22152 },
{ itemLevel: 114, addPrice: 11304, removePrice: 22608 },
{ itemLevel: 115, addPrice: 11461, removePrice: 22922 },
{ itemLevel: 116, addPrice: 11692, removePrice: 23384 },
{ itemLevel: 117, addPrice: 11850, removePrice: 23700 },
{ itemLevel: 118, addPrice: 12084, removePrice: 24168 },
{ itemLevel: 119, addPrice: 12243, removePrice: 24486 },
{ itemLevel: 120, addPrice: 12640, removePrice: 25280 },
{ itemLevel: 121, addPrice: 12800, removePrice: 25600 },
{ itemLevel: 122, addPrice: 13041, removePrice: 26082 },
{ itemLevel: 123, addPrice: 13363, removePrice: 26726 },
{ itemLevel: 124, addPrice: 13608, removePrice: 27216 },
{ itemLevel: 125, addPrice: 13932, removePrice: 27864 },
{ itemLevel: 126, addPrice: 14181, removePrice: 28362 },
{ itemLevel: 127, addPrice: 14507, removePrice: 29014 },
{ itemLevel: 128, addPrice: 14924, removePrice: 29848 },
{ itemLevel: 129, addPrice: 15088, removePrice: 30176 },
{ itemLevel: 130, addPrice: 15510, removePrice: 31020 },
{ itemLevel: 131, addPrice: 15840, removePrice: 31680 },
{ itemLevel: 132, addPrice: 16268, removePrice: 32536 },
{ itemLevel: 133, addPrice: 16600, removePrice: 33200 },
{ itemLevel: 134, addPrice: 17034, removePrice: 34068 },
{ itemLevel: 135, addPrice: 17368, removePrice: 34736 },
{ itemLevel: 136, addPrice: 17808, removePrice: 35616 },
{ itemLevel: 137, addPrice: 18144, removePrice: 36288 },
{ itemLevel: 138, addPrice: 18590, removePrice: 37180 },
{ itemLevel: 139, addPrice: 18928, removePrice: 37856 },
{ itemLevel: 140, addPrice: 19380, removePrice: 38760 },
{ itemLevel: 141, addPrice: 19720, removePrice: 39440 },
{ itemLevel: 142, addPrice: 20349, removePrice: 40698 },
{ itemLevel: 143, addPrice: 20691, removePrice: 41382 },
{ itemLevel: 144, addPrice: 21156, removePrice: 42312 },
{ itemLevel: 145, addPrice: 21672, removePrice: 43344 },
{ itemLevel: 146, addPrice: 22144, removePrice: 44288 },
{ itemLevel: 147, addPrice: 22663, removePrice: 45326 },
{ itemLevel: 148, addPrice: 23142, removePrice: 46284 },
{ itemLevel: 149, addPrice: 23664, removePrice: 47328 },
{ itemLevel: 150, addPrice: 23625, removePrice: 47250 },
{ itemLevel: 151, addPrice: 23450, removePrice: 46900 },
{ itemLevel: 152, addPrice: 23584, removePrice: 47168 },
{ itemLevel: 153, addPrice: 23584, removePrice: 47168 },
{ itemLevel: 154, addPrice: 23718, removePrice: 47436 },
{ itemLevel: 155, addPrice: 23718, removePrice: 47436 },
{ itemLevel: 156, addPrice: 23852, removePrice: 47704 },
{ itemLevel: 157, addPrice: 23852, removePrice: 47704 },
{ itemLevel: 158, addPrice: 23986, removePrice: 47972 },
{ itemLevel: 159, addPrice: 24165, removePrice: 48330 },
{ itemLevel: 160, addPrice: 24480, removePrice: 48960 },
{ itemLevel: 161, addPrice: 24480, removePrice: 48960 },
{ itemLevel: 162, addPrice: 24797, removePrice: 49594 },
{ itemLevel: 163, addPrice: 24978, removePrice: 49956 },
{ itemLevel: 164, addPrice: 25298, removePrice: 50596 },
{ itemLevel: 165, addPrice: 25662, removePrice: 51324 },
{ itemLevel: 166, addPrice: 25986, removePrice: 51972 },
{ itemLevel: 167, addPrice: 26169, removePrice: 52338 },
{ itemLevel: 168, addPrice: 26680, removePrice: 53360 },
{ itemLevel: 169, addPrice: 27048, removePrice: 54096 },
{ itemLevel: 170, addPrice: 27380, removePrice: 54760 },
{ itemLevel: 171, addPrice: 27750, removePrice: 55500 },
{ itemLevel: 172, addPrice: 28272, removePrice: 56544 },
{ itemLevel: 173, addPrice: 28644, removePrice: 57288 },
{ itemLevel: 174, addPrice: 29172, removePrice: 58344 },
{ itemLevel: 175, addPrice: 29546, removePrice: 59092 },
{ itemLevel: 176, addPrice: 30268, removePrice: 60536 },
{ itemLevel: 177, addPrice: 30644, removePrice: 61288 },
{ itemLevel: 178, addPrice: 31374, removePrice: 62748 },
{ itemLevel: 179, addPrice: 31752, removePrice: 63504 },
{ itemLevel: 180, addPrice: 32490, removePrice: 64980 },
{ itemLevel: 181, addPrice: 33060, removePrice: 66120 },
{ itemLevel: 182, addPrice: 33807, removePrice: 67614 },
{ itemLevel: 183, addPrice: 34380, removePrice: 68760 },
{ itemLevel: 184, addPrice: 35136, removePrice: 70272 },
{ itemLevel: 185, addPrice: 35712, removePrice: 71424 },
{ itemLevel: 186, addPrice: 36477, removePrice: 72954 },
{ itemLevel: 187, addPrice: 37249, removePrice: 74498 },
{ itemLevel: 188, addPrice: 38024, removePrice: 76048 },
{ itemLevel: 189, addPrice: 38606, removePrice: 77212 },
{ itemLevel: 190, addPrice: 39585, removePrice: 79170 },
{ itemLevel: 191, addPrice: 40365, removePrice: 80730 },
{ itemLevel: 192, addPrice: 41160, removePrice: 82320 },
{ itemLevel: 193, addPrice: 41944, removePrice: 83888 },
{ itemLevel: 194, addPrice: 42946, removePrice: 85892 },
{ itemLevel: 195, addPrice: 43734, removePrice: 87468 },
{ itemLevel: 196, addPrice: 44748, removePrice: 89496 },
{ itemLevel: 197, addPrice: 45540, removePrice: 91080 },
{ itemLevel: 198, addPrice: 46566, removePrice: 93132 },
{ itemLevel: 199, addPrice: 47362, removePrice: 94724 },
{ itemLevel: 200, addPrice: 48600, removePrice: 97200 },
{ itemLevel: 201, addPrice: 49400, removePrice: 98800 },
{ itemLevel: 202, addPrice: 50400, removePrice: 100800 },
{ itemLevel: 203, addPrice: 51200, removePrice: 102400 },
{ itemLevel: 204, addPrice: 52200, removePrice: 104400 },
{ itemLevel: 205, addPrice: 53000, removePrice: 106000 },
{ itemLevel: 206, addPrice: 54000, removePrice: 108000 },
{ itemLevel: 207, addPrice: 55000, removePrice: 110000 },
{ itemLevel: 208, addPrice: 56000, removePrice: 112000 },
{ itemLevel: 209, addPrice: 57000, removePrice: 114000 },
{ itemLevel: 210, addPrice: 58000, removePrice: 116000 },
{ itemLevel: 211, addPrice: 59000, removePrice: 118000 },
{ itemLevel: 212, addPrice: 60000, removePrice: 120000 },
{ itemLevel: 213, addPrice: 61000, removePrice: 122000 },
{ itemLevel: 214, addPrice: 62000, removePrice: 124000 },
{ itemLevel: 215, addPrice: 61800, removePrice: 123600 },
{ itemLevel: 216, addPrice: 61600, removePrice: 123200 },
{ itemLevel: 217, addPrice: 61600, removePrice: 123200 },
{ itemLevel: 218, addPrice: 61400, removePrice: 122800 },
{ itemLevel: 219, addPrice: 61400, removePrice: 122800 },
{ itemLevel: 220, addPrice: 61400, removePrice: 122800 },
{ itemLevel: 221, addPrice: 61600, removePrice: 123200 },
{ itemLevel: 222, addPrice: 61800, removePrice: 123600 },
{ itemLevel: 223, addPrice: 61800, removePrice: 123600 },
{ itemLevel: 224, addPrice: 62000, removePrice: 124000 },
{ itemLevel: 225, addPrice: 62400, removePrice: 124800 },
{ itemLevel: 226, addPrice: 62600, removePrice: 125200 },
{ itemLevel: 227, addPrice: 63000, removePrice: 126000 },
{ itemLevel: 228, addPrice: 63400, removePrice: 126800 },
{ itemLevel: 229, addPrice: 63800, removePrice: 127600 },
{ itemLevel: 230, addPrice: 64200, removePrice: 128400 },
{ itemLevel: 231, addPrice: 64800, removePrice: 129600 },
{ itemLevel: 232, addPrice: 65400, removePrice: 130800 },
{ itemLevel: 233, addPrice: 65800, removePrice: 131600 },
{ itemLevel: 234, addPrice: 66600, removePrice: 133200 },
{ itemLevel: 235, addPrice: 67200, removePrice: 134400 },
{ itemLevel: 236, addPrice: 68000, removePrice: 136000 },
{ itemLevel: 237, addPrice: 68600, removePrice: 137200 },
{ itemLevel: 238, addPrice: 69400, removePrice: 138800 },
{ itemLevel: 239, addPrice: 70200, removePrice: 140400 },
{ itemLevel: 240, addPrice: 71200, removePrice: 142400 },
{ itemLevel: 241, addPrice: 72000, removePrice: 144000 },
{ itemLevel: 242, addPrice: 73000, removePrice: 146000 },
{ itemLevel: 243, addPrice: 73800, removePrice: 147600 },
{ itemLevel: 244, addPrice: 75000, removePrice: 150000 },
{ itemLevel: 245, addPrice: 76000, removePrice: 152000 },
{ itemLevel: 246, addPrice: 77000, removePrice: 154000 },
{ itemLevel: 247, addPrice: 78200, removePrice: 156400 },
{ itemLevel: 248, addPrice: 79400, removePrice: 158800 },
{ itemLevel: 249, addPrice: 80600, removePrice: 161200 },
{ itemLevel: 250, addPrice: 81600, removePrice: 163200 },
{ itemLevel: 251, addPrice: 83000, removePrice: 166000 },
{ itemLevel: 252, addPrice: 84200, removePrice: 168400 },
{ itemLevel: 253, addPrice: 85600, removePrice: 171200 },
{ itemLevel: 254, addPrice: 86800, removePrice: 173600 },
{ itemLevel: 255, addPrice: 88400, removePrice: 176800 },
{ itemLevel: 256, addPrice: 89800, removePrice: 179600 },
{ itemLevel: 257, addPrice: 91200, removePrice: 182400 },
{ itemLevel: 258, addPrice: 92600, removePrice: 185200 },
{ itemLevel: 259, addPrice: 94200, removePrice: 188400 },
{ itemLevel: 260, addPrice: 95800, removePrice: 191600 },
{ itemLevel: 261, addPrice: 97200, removePrice: 194400 },
{ itemLevel: 262, addPrice: 98800, removePrice: 197600 },
{ itemLevel: 263, addPrice: 100600, removePrice: 201200 },
{ itemLevel: 264, addPrice: 102200, removePrice: 204400 },
{ itemLevel: 265, addPrice: 103800, removePrice: 207600 },
{ itemLevel: 266, addPrice: 105600, removePrice: 211200 },
{ itemLevel: 267, addPrice: 107400, removePrice: 214800 },
{ itemLevel: 268, addPrice: 109200, removePrice: 218400 },
{ itemLevel: 269, addPrice: 111000, removePrice: 222000 },
{ itemLevel: 270, addPrice: 112800, removePrice: 225600 },
{ itemLevel: 271, addPrice: 114600, removePrice: 229200 },
{ itemLevel: 272, addPrice: 116600, removePrice: 233200 },
{ itemLevel: 273, addPrice: 118600, removePrice: 237200 },
{ itemLevel: 274, addPrice: 120400, removePrice: 240800 },
{ itemLevel: 275, addPrice: 122400, removePrice: 244800 },
{ itemLevel: 276, addPrice: 124400, removePrice: 248800 },
{ itemLevel: 277, addPrice: 126400, removePrice: 252800 },
{ itemLevel: 278, addPrice: 128600, removePrice: 257200 },
{ itemLevel: 279, addPrice: 130600, removePrice: 261200 },
{ itemLevel: 280, addPrice: 132800, removePrice: 265600 },
{ itemLevel: 281, addPrice: 134800, removePrice: 269600 },
{ itemLevel: 282, addPrice: 137000, removePrice: 274000 },
{ itemLevel: 283, addPrice: 139200, removePrice: 278400 },
{ itemLevel: 284, addPrice: 141400, removePrice: 282800 },
{ itemLevel: 285, addPrice: 143600, removePrice: 287200 },
{ itemLevel: 286, addPrice: 146000, removePrice: 292000 },
{ itemLevel: 287, addPrice: 148200, removePrice: 296400 },
{ itemLevel: 288, addPrice: 150600, removePrice: 301200 },
{ itemLevel: 289, addPrice: 153000, removePrice: 306000 },
{ itemLevel: 290, addPrice: 152400, removePrice: 304800 },
{ itemLevel: 291, addPrice: 152200, removePrice: 304400 },
{ itemLevel: 292, addPrice: 152000, removePrice: 304000 },
{ itemLevel: 293, addPrice: 152000, removePrice: 304000 },
{ itemLevel: 294, addPrice: 152000, removePrice: 304000 },
{ itemLevel: 295, addPrice: 152000, removePrice: 304000 },
{ itemLevel: 296, addPrice: 152200, removePrice: 304400 },
{ itemLevel: 297, addPrice: 152400, removePrice: 304800 },
{ itemLevel: 298, addPrice: 152800, removePrice: 305600 },
{ itemLevel: 299, addPrice: 153200, removePrice: 306400 },
{ itemLevel: 300, addPrice: 153800, removePrice: 307600 },
{ itemLevel: 301, addPrice: 154400, removePrice: 308800 },
{ itemLevel: 302, addPrice: 155200, removePrice: 310400 },
{ itemLevel: 303, addPrice: 156000, removePrice: 312000 },
{ itemLevel: 304, addPrice: 156800, removePrice: 313600 },
{ itemLevel: 305, addPrice: 157800, removePrice: 315600 },
{ itemLevel: 306, addPrice: 158800, removePrice: 317600 },
{ itemLevel: 307, addPrice: 159800, removePrice: 319600 },
{ itemLevel: 308, addPrice: 161200, removePrice: 322400 },
{ itemLevel: 309, addPrice: 162400, removePrice: 324800 },
{ itemLevel: 310, addPrice: 164000, removePrice: 328000 },
{ itemLevel: 311, addPrice: 165200, removePrice: 330400 },
{ itemLevel: 312, addPrice: 166800, removePrice: 333600 },
{ itemLevel: 313, addPrice: 168600, removePrice: 337200 },
{ itemLevel: 314, addPrice: 170200, removePrice: 340400 },
{ itemLevel: 315, addPrice: 172000, removePrice: 344000 },
{ itemLevel: 316, addPrice: 173800, removePrice: 347600 },
{ itemLevel: 317, addPrice: 175800, removePrice: 351600 },
{ itemLevel: 318, addPrice: 177800, removePrice: 355600 },
{ itemLevel: 319, addPrice: 179800, removePrice: 359600 },
{ itemLevel: 320, addPrice: 182000, removePrice: 364000 },
{ itemLevel: 321, addPrice: 184200, removePrice: 368400 },
{ itemLevel: 322, addPrice: 186600, removePrice: 373200 },
{ itemLevel: 323, addPrice: 189000, removePrice: 378000 },
{ itemLevel: 324, addPrice: 191400, removePrice: 382800 },
{ itemLevel: 325, addPrice: 193800, removePrice: 387600 },
{ itemLevel: 326, addPrice: 196400, removePrice: 392800 },
{ itemLevel: 327, addPrice: 199200, removePrice: 398400 },
{ itemLevel: 328, addPrice: 201800, removePrice: 403600 },
{ itemLevel: 329, addPrice: 204600, removePrice: 409200 },
{ itemLevel: 330, addPrice: 207600, removePrice: 415200 },
{ itemLevel: 331, addPrice: 210600, removePrice: 421200 },
{ itemLevel: 332, addPrice: 213400, removePrice: 426800 },
{ itemLevel: 333, addPrice: 216600, removePrice: 433200 },
{ itemLevel: 334, addPrice: 219800, removePrice: 439600 },
{ itemLevel: 335, addPrice: 223000, removePrice: 446000 },
{ itemLevel: 336, addPrice: 226200, removePrice: 452400 },
{ itemLevel: 337, addPrice: 229600, removePrice: 459200 },
{ itemLevel: 338, addPrice: 233200, removePrice: 466400 },
{ itemLevel: 339, addPrice: 236400, removePrice: 472800 },
{ itemLevel: 340, addPrice: 240000, removePrice: 480000 },
{ itemLevel: 341, addPrice: 243800, removePrice: 487600 },
{ itemLevel: 342, addPrice: 247400, removePrice: 494800 },
{ itemLevel: 343, addPrice: 251200, removePrice: 502400 },
{ itemLevel: 344, addPrice: 255000, removePrice: 510000 },
{ itemLevel: 345, addPrice: 258800, removePrice: 517600 },
{ itemLevel: 346, addPrice: 262800, removePrice: 525600 },
{ itemLevel: 347, addPrice: 266800, removePrice: 533600 },
{ itemLevel: 348, addPrice: 270800, removePrice: 541600 },
{ itemLevel: 349, addPrice: 275000, removePrice: 550000 },
{ itemLevel: 350, addPrice: 279200, removePrice: 558400 },
{ itemLevel: 351, addPrice: 283400, removePrice: 566800 },
{ itemLevel: 352, addPrice: 287600, removePrice: 575200 },
{ itemLevel: 353, addPrice: 292000, removePrice: 584000 },
{ itemLevel: 354, addPrice: 296600, removePrice: 593200 },
{ itemLevel: 355, addPrice: 301000, removePrice: 602000 },
{ itemLevel: 356, addPrice: 305600, removePrice: 611200 },
{ itemLevel: 357, addPrice: 310000, removePrice: 620000 },
{ itemLevel: 358, addPrice: 314800, removePrice: 629600 },
{ itemLevel: 359, addPrice: 319600, removePrice: 639200 },
{ itemLevel: 360, addPrice: 324400, removePrice: 648800 },
{ itemLevel: 361, addPrice: 329000, removePrice: 658000 },
{ itemLevel: 362, addPrice: 334000, removePrice: 668000 },
{ itemLevel: 363, addPrice: 339000, removePrice: 678000 },
{ itemLevel: 364, addPrice: 344000, removePrice: 688000 },
{ itemLevel: 365, addPrice: 349200, removePrice: 698400 },
{ itemLevel: 366, addPrice: 354000, removePrice: 708000 },
{ itemLevel: 367, addPrice: 359200, removePrice: 718400 },
{ itemLevel: 368, addPrice: 364400, removePrice: 728800 },
{ itemLevel: 369, addPrice: 369800, removePrice: 739600 },
{ itemLevel: 370, addPrice: 375200, removePrice: 750400 },
{ itemLevel: 371, addPrice: 380400, removePrice: 760800 },
{ itemLevel: 372, addPrice: 385800, removePrice: 771600 },
{ itemLevel: 373, addPrice: 391400, removePrice: 782800 },
{ itemLevel: 374, addPrice: 397000, removePrice: 794000 },
{ itemLevel: 375, addPrice: 396200, removePrice: 792400 },
{ itemLevel: 376, addPrice: 395800, removePrice: 791600 },
{ itemLevel: 377, addPrice: 395200, removePrice: 790400 },
{ itemLevel: 378, addPrice: 395200, removePrice: 790400 },
{ itemLevel: 379, addPrice: 395200, removePrice: 790400 },
{ itemLevel: 380, addPrice: 395600, removePrice: 791200 },
{ itemLevel: 381, addPrice: 396000, removePrice: 792000 },
{ itemLevel: 382, addPrice: 396600, removePrice: 793200 },
{ itemLevel: 383, addPrice: 397400, removePrice: 794800 },
{ itemLevel: 384, addPrice: 398600, removePrice: 797200 },
{ itemLevel: 385, addPrice: 399800, removePrice: 799600 },
{ itemLevel: 386, addPrice: 401200, removePrice: 802400 },
{ itemLevel: 387, addPrice: 403000, removePrice: 806000 },
{ itemLevel: 388, addPrice: 404600, removePrice: 809200 },
{ itemLevel: 389, addPrice: 406600, removePrice: 813200 },
{ itemLevel: 390, addPrice: 408800, removePrice: 817600 },
{ itemLevel: 391, addPrice: 411200, removePrice: 822400 },
{ itemLevel: 392, addPrice: 413800, removePrice: 827600 },
{ itemLevel: 393, addPrice: 416600, removePrice: 833200 },
{ itemLevel: 394, addPrice: 419600, removePrice: 839200 },
{ itemLevel: 395, addPrice: 422400, removePrice: 844800 },
{ itemLevel: 396, addPrice: 425800, removePrice: 851600 },
{ itemLevel: 397, addPrice: 429400, removePrice: 858800 },
{ itemLevel: 398, addPrice: 433000, removePrice: 866000 },
{ itemLevel: 399, addPrice: 437000, removePrice: 874000 },
{ itemLevel: 400, addPrice: 441000, removePrice: 882000 },
{ itemLevel: 401, addPrice: 444800, removePrice: 889600 },
{ itemLevel: 402, addPrice: 449200, removePrice: 898400 },
{ itemLevel: 403, addPrice: 453800, removePrice: 907600 },
{ itemLevel: 404, addPrice: 458600, removePrice: 917200 },
{ itemLevel: 405, addPrice: 463600, removePrice: 927200 },
{ itemLevel: 406, addPrice: 468600, removePrice: 937200 },
{ itemLevel: 407, addPrice: 473800, removePrice: 947600 },
{ itemLevel: 408, addPrice: 479200, removePrice: 958400 },
{ itemLevel: 409, addPrice: 484600, removePrice: 969200 },
{ itemLevel: 410, addPrice: 490400, removePrice: 980800 },
{ itemLevel: 411, addPrice: 496200, removePrice: 992400 },
{ itemLevel: 412, addPrice: 502400, removePrice: 1004800 },
{ itemLevel: 413, addPrice: 508600, removePrice: 1017200 },
{ itemLevel: 414, addPrice: 515000, removePrice: 1030000 },
{ itemLevel: 415, addPrice: 521600, removePrice: 1043200 },
{ itemLevel: 416, addPrice: 528200, removePrice: 1056400 },
{ itemLevel: 417, addPrice: 534800, removePrice: 1069600 },
{ itemLevel: 418, addPrice: 542000, removePrice: 1084000 },
{ itemLevel: 419, addPrice: 549200, removePrice: 1098400 },
{ itemLevel: 420, addPrice: 556400, removePrice: 1112800 },
{ itemLevel: 421, addPrice: 564000, removePrice: 1128000 },
{ itemLevel: 422, addPrice: 571600, removePrice: 1143200 },
{ itemLevel: 423, addPrice: 579600, removePrice: 1159200 },
{ itemLevel: 424, addPrice: 587600, removePrice: 1175200 },
{ itemLevel: 425, addPrice: 595200, removePrice: 1190400 },
{ itemLevel: 426, addPrice: 603600, removePrice: 1207200 },
{ itemLevel: 427, addPrice: 612000, removePrice: 1224000 },
{ itemLevel: 428, addPrice: 620600, removePrice: 1241200 },
{ itemLevel: 429, addPrice: 629400, removePrice: 1258800 },
{ itemLevel: 430, addPrice: 638200, removePrice: 1276400 },
{ itemLevel: 431, addPrice: 647200, removePrice: 1294400 },
{ itemLevel: 432, addPrice: 656400, removePrice: 1312800 },
{ itemLevel: 433, addPrice: 665800, removePrice: 1331600 },
{ itemLevel: 434, addPrice: 675200, removePrice: 1350400 },
{ itemLevel: 435, addPrice: 685000, removePrice: 1370000 },
{ itemLevel: 436, addPrice: 694200, removePrice: 1388400 },
{ itemLevel: 437, addPrice: 704200, removePrice: 1408400 },
{ itemLevel: 438, addPrice: 714200, removePrice: 1428400 },
{ itemLevel: 439, addPrice: 724400, removePrice: 1448800 },
{ itemLevel: 440, addPrice: 734800, removePrice: 1469600 },
{ itemLevel: 441, addPrice: 745200, removePrice: 1490400 },
{ itemLevel: 442, addPrice: 755800, removePrice: 1511600 },
{ itemLevel: 443, addPrice: 766600, removePrice: 1533200 },
{ itemLevel: 444, addPrice: 777600, removePrice: 1555200 },
{ itemLevel: 445, addPrice: 788600, removePrice: 1577200 },
{ itemLevel: 446, addPrice: 799800, removePrice: 1599600 },
{ itemLevel: 447, addPrice: 810600, removePrice: 1621200 },
{ itemLevel: 448, addPrice: 822000, removePrice: 1644000 },
